feature,importance
Humidity3pm,0.2690664177138565
Pressure3pm,0.09663648018183382
Rainfall,0.09500675423507325
Humidity9am,0.083751376853734
WindGustSpeed,0.07764549704133565
MaxTemp,0.060329921218299803
MinTemp,0.05713239974258053
RainToday,0.03928899724868917
Location,0.0353432455207536
WindSpeed3pm,0.03390205004469111
WindSpeed9am,0.029241259322241097
Month,0.026087031408239543
WindDir9am_N,0.00526776286813653
WindGustDir_W,0.00394971798258754
WindDir3pm_N,0.003400082182267195
WindGustDir_N,0.0031652430313206014
WindDir9am_NNE,0.003068595567284608
WindDir3pm_NW,0.002879393676799311
WindDir3pm_NNW,0.0028377571825834885
WindDir3pm_NE,0.0026348420198386447
WindDir3pm_SE,0.0024622830745134722
WindGustDir_NW,0.002388043703802046
WindDir3pm_WNW,0.0023836017505640683
WindDir3pm_W,0.0023613926199600893
WindGustDir_NE,0.0022410683769316393
WindDir9am_NW,0.0021510849205543005
WindDir9am_NNW,0.0021503871803965637
WindGustDir_NNW,0.002125871085002628
WindDir3pm_NNE,0.0021148389464724433
WindDir3pm_S,0.0020399761536743456
WindGustDir_WNW,0.0020352236133192986
WindDir3pm_SW,0.0019982911680555045
WindDir3pm_SSE,0.0019908420542869036
WindDir9am_W,0.001983677745494925
WindDir3pm_WSW,0.0019536193941413244
WindDir9am_NE,0.0019439845395518968
WindGustDir_S,0.0019363092361514957
WindDir9am_S,0.001857285095120141
WindGustDir_SE,0.0018386239544076863
WindDir9am_WNW,0.0018316255503949496
WindDir9am_SW,0.001827130853392043
WindGustDir_NNE,0.001754043541074025
WindDir9am_SSE,0.0017461176592990847
WindDir9am_SE,0.0017414899988044661
WindGustDir_ENE,0.0017278743982485586
WindGustDir_WSW,0.001710777551651129
WindGustDir_SSW,0.0016870055112742153
WindDir9am_SSW,0.00167072371144237
WindGustDir_SW,0.0016290483948060118
WindDir3pm_SSW,0.00162543239159131
WindDir9am_WSW,0.0015792526325924823
WindDir3pm_ESE,0.0015768325935520576
WindDir3pm_ENE,0.0015689078536000375
WindGustDir_SSE,0.0015400594054351914
WindDir9am_ESE,0.001453736168725196
WindDir9am_ENE,0.0014242787228061632
WindGustDir_ESE,0.001314433406763758
